City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,norfolk,42.1668,-71.2495,60.73,74,3,1.88,US,1728172736
334,tidjikja,18.5564,-11.4271,91.38,20,14,9.78,MR,1728172738
335,johi,26.6921,67.6133,87.22,58,0,6.38,PK,1728172739
336,ak-suu,42.4995,78.527,49.77,49,62,7.16,KG,1728172740
337,murghob,38.1702,73.9667,36.57,59,100,3.91,TJ,1728172741
338,ad dilam,23.9915,47.1627,80.53,21,2,3.89,SA,1728172742
339,douglas,41.3,-96.167,79.32,27,0,13.8,US,1728172743
340,youssoufia,32.2463,-8.5294,68.9,84,29,12.03,MA,1728172745
341,port-vila,-17.7338,168.3219,82.0,69,75,14.97,VU,1728172747
342,taroa,8.7058,171.2275,82.72,74,32,4.9,MH,1728172748
343,salinopolis,-0.6136,-47.3561,79.9,78,29,12.62,BR,1728172752
344,bollnas,61.3482,16.3946,44.71,91,96,6.11,SE,1728172755
345,laminusa,5.5549,120.9136,82.9,71,88,1.03,PH,1728172757
346,hohhot,40.8106,111.6522,52.09,71,20,11.18,CN,1728172758
347,bubaque,11.2833,-15.8333,80.4,83,57,3.96,GW,1728172762
348,taltal,-25.4,-70.4833,61.03,76,100,1.57,CL,1728172764
349,yugo-kamskiy,57.7053,55.5894,47.41,92,91,5.61,RU,1728172766
350,bardai,11.65,7.2333,69.48,87,97,4.54,NG,1728172769
351,klyuchi,52.2667,79.1667,46.44,49,100,8.01,RU,1728172770
352,mili,6.0815,171.735,84.33,71,27,10.54,MH,1728172773
353,sao joao da barra,-21.6403,-41.0511,69.26,65,6,11.36,BR,1728172776
354,nuuk,64.1835,-51.7216,38.88,60,3,4.0,GL,1728172778
355,rikaze,29.25,88.8833,45.12,56,2,3.42,CN,1728172780
356,les sables-d'olonne,46.6667,-1.8333,57.96,95,100,18.41,FR,1728172782
357,santa elena de uairen,4.6167,-61.1333,68.99,85,99,2.77,VE,1728172783
358,suklayin,15.7574,121.5503,80.19,82,80,1.36,PH,1728172784
359,kiomboi,-4.2667,34.3667,65.32,63,90,10.63,TZ,1728172785
360,hami,42.8,93.45,57.63,31,0,6.67,CN,1728172788
361,metlili chaamba,32.2667,3.6333,76.14,38,0,0.0,DZ,1728172789
362,nishinoomote,30.7333,131.0,79.36,94,75,4.61,JP,1728172792
363,katsuura,35.1333,140.3,73.29,92,95,11.63,JP,1728172796
